api_fullname;api_lib_id;lib_name;query;query_rank;didactic;loc;tokens;tokens_density;comments;comments_ratio;readability;reusability;api_count;api_ratio;cosine_sim;soft_cosine_sim
com.google.common.base.Preconditions.checkElementIndex;3;GoogleGuava;Preconditions checkElementIndex;9;1;8;28;3.5;0;0.0;0.48;1.0;2;0.07;0.24;0.17
com.google.common.base.Preconditions.checkElementIndex;4;GoogleGuava;Preconditions checkElementIndex;1;1;5;12;2.4;0;0.0;0.46;1.0;6;0.5;0.77;0.67
com.google.common.base.Preconditions.checkElementIndex;5;GoogleGuava;Preconditions checkElementIndex;8;1;8;20;2.5;0;0.0;0.57;1.0;2;0.1;0.29;0.2
com.google.common.base.Preconditions.checkElementIndex;6;GoogleGuava;Preconditions checkElementIndex;6;0;22;82;3.73;2;0.09;0.55;0.67;2;0.02;0.08;0.06
com.google.common.base.Preconditions.checkElementIndex;7;GoogleGuava;Preconditions checkElementIndex;4;0;16;90;5.62;0;0.0;0.05;0.69;3;0.03;0.15;0.14
com.google.common.base.Preconditions.checkElementIndex;8;GoogleGuava;Preconditions checkElementIndex;5;0;12;43;3.58;1;0.08;0.67;1.0;2;0.05;0.14;0.1
com.google.common.base.Preconditions.checkElementIndex;9;GoogleGuava;Preconditions checkElementIndex;3;0;7;36;5.14;0;0.0;0.67;0.5;3;0.08;0.3;0.26
com.google.common.base.Preconditions.checkElementIndex;10;GoogleGuava;Preconditions checkElementIndex;2;0;10;52;5.2;0;0.0;0.57;0.5;4;0.08;0.26;0.25
com.google.common.base.Preconditions.checkNotNull;1;GoogleGuava;Preconditions checkNotNull;1;1;5;24;4.8;0;0.0;0.88;1.0;4;0.17;0.44;0.42
com.google.common.base.Preconditions.checkNotNull;2;GoogleGuava;Preconditions checkNotNull;5;1;7;26;3.71;0;0.0;0.58;1.0;2;0.08;0.23;0.23
com.google.common.base.Preconditions.checkNotNull;3;GoogleGuava;Preconditions checkNotNull;2;1;9;29;3.22;0;0.0;0.62;1.0;2;0.07;0.21;0.2
com.google.common.base.Preconditions.checkNotNull;4;GoogleGuava;Preconditions checkNotNull;4;1;4;16;4.0;0;0.0;0.73;1.0;1;0.06;0.14;0.14
com.google.common.base.Preconditions.checkNotNull;5;GoogleGuava;Preconditions checkNotNull;3;1;7;14;2.0;0;0.0;0.70;1.0;2;0.14;0.38;0.38
com.google.common.base.Preconditions.checkNotNull;6;GoogleGuava;Preconditions checkNotNull;7;0;19;78;4.11;2;0.11;0.46;0.33;4;0.05;0.14;0.14
com.google.common.base.Preconditions.checkNotNull;7;GoogleGuava;Preconditions checkNotNull;9;0;15;61;4.07;1;0.07;0.51;0.43;2;0.03;0.12;0.12
com.google.common.base.Preconditions.checkNotNull;8;GoogleGuava;Preconditions checkNotNull;8;0;20;74;3.7;0;0.0;0.30;0.86;2;0.03;0.09;0.09
com.google.common.base.Preconditions.checkNotNull;9;GoogleGuava;Preconditions checkNotNull;6;0;13;40;3.08;0;0.0;0.62;0.5;6;0.15;0.34;0.35
com.google.common.base.Preconditions.checkNotNull;10;GoogleGuava;Preconditions checkNotNull;10;0;14;48;3.43;0;0.0;0.53;1.0;2;0.04;0.12;0.11
com.google.common.base.Preconditions.checkPositionIndex;1;GoogleGuava;Preconditions checkPositionIndex;10;1;4;20;5.0;0;0.0;0.77;1.0;1;0.05;0.12;0.0
com.google.common.base.Preconditions.checkPositionIndex;2;GoogleGuava;Preconditions checkPositionIndex;4;1;8;28;3.5;0;0.0;0.49;1.0;2;0.07;0.24;0.17
com.google.common.base.Preconditions.checkPositionIndex;3;GoogleGuava;Preconditions checkPositionIndex;9;1;4;15;3.75;0;0.0;0.81;1;1;0.07;0.12;0.0
com.google.common.base.Preconditions.checkPositionIndex;4;GoogleGuava;Preconditions checkPositionIndex;1;1;5;12;2.4;0;0.0;0.47;1.0;6;0.5;0.77;0.67
com.google.common.base.Preconditions.checkPositionIndex;5;GoogleGuava;Preconditions checkPositionIndex;3;1;8;19;2.38;0;0.0;0.61;1.0;2;0.11;0.29;0.2
com.google.common.base.Preconditions.checkPositionIndex;6;GoogleGuava;Preconditions checkPositionIndex;2;0;12;49;4.08;1;0.08;0.64;0.67;3;0.06;0.18;0.17
com.google.common.base.Preconditions.checkPositionIndex;7;GoogleGuava;Preconditions checkPositionIndex;7;0;10;30;3.0;0;0.0;0.67;0.67;2;0.07;0.19;0.13
com.google.common.base.Preconditions.checkPositionIndex;8;GoogleGuava;Preconditions checkPositionIndex;5;0;4;13;3.25;0;0.0;0.84;1.0;2;0.15;0.32;0.23
com.google.common.base.Preconditions.checkPositionIndex;9;GoogleGuava;Preconditions checkPositionIndex;6;0;4;14;3.5;0;0.0;0.76;0.5;2;0.14;0.3;0.22
com.google.common.base.Preconditions.checkPositionIndex;10;GoogleGuava;Preconditions checkPositionIndex;8;0;5;16;3.2;0;0.0;0.86;1.0;2;0.12;0.28;0.19
com.google.common.base.Preconditions.checkState;1;GoogleGuava;Preconditions checkState;5;1;10;30;3.0;0;0.0;0.44;1.0;2;0.07;0.22;0.23
com.google.common.base.Preconditions.checkState;2;GoogleGuava;Preconditions checkState;1;1;21;74;3.52;2;0.1;0.89;0.8;6;0.08;0.33;0.27
com.google.common.base.Preconditions.checkState;3;GoogleGuava;Preconditions checkState;8;1;20;128;6.4;9;0.45;0.91;1.0;4;0.03;0.14;0.11
com.google.common.base.Preconditions.checkState;4;GoogleGuava;Preconditions checkState;9;1;3;12;4.0;0;0.0;0.91;1;1;0.08;0.19;0.18
com.google.common.base.Preconditions.checkState;5;GoogleGuava;Preconditions checkState;6;1;8;17;2.12;0;0.0;0.69;1.0;2;0.12;0.32;0.35
com.google.common.base.Preconditions.checkState;6;GoogleGuava;Preconditions checkState;10;0;22;69;3.14;0;0.0;0.35;0.5;2;0.03;0.11;0.11
com.google.common.base.Preconditions.checkState;7;GoogleGuava;Preconditions checkState;4;0;18;62;3.44;0;0.0;0.49;0.4;3;0.05;0.15;0.14
com.google.common.base.Preconditions.checkState;8;GoogleGuava;Preconditions checkState;2;0;24;61;2.54;0;0.0;0.53;1.0;4;0.07;0.22;0.22
com.google.common.base.Preconditions.checkState;9;GoogleGuava;Preconditions checkState;3;0;24;138;5.75;1;0.04;0.76;0.33;4;0.03;0.14;0.11
com.google.common.base.Preconditions.checkState;10;GoogleGuava;Preconditions checkState;7;0;23;72;3.13;2;0.09;0.78;0.67;2;0.03;0.12;0.12
com.google.common.collect.Ints.asList;1;GoogleGuava;Ints asList;2;1;13;44;3.38;5;0.38;0.90;1.0;4;0.09;0.35;0.37
com.google.common.collect.Ints.asList;2;GoogleGuava;Ints asList;10;1;7;20;2.86;0;0.0;0.66;1.0;2;0.1;0.28;0.29
com.google.common.collect.Ints.asList;3;GoogleGuava;Ints asList;7;1;9;20;2.22;0;0.0;0.76;1.0;2;0.1;0.27;0.31
com.google.common.collect.Ints.asList;4;GoogleGuava;Ints asList;4;1;13;166;12.77;0;0.0;0.37;1.0;4;0.02;0.09;0.09
com.google.common.collect.Ints.asList;5;GoogleGuava;Ints asList;5;1;5;19;3.8;0;0.0;0.36;1.0;3;0.16;0.39;0.47
com.google.common.collect.Ints.asList;6;GoogleGuava;Ints asList;6;0;16;51;3.19;0;0.0;0.31;0.8;2;0.04;0.16;0.23
com.google.common.collect.Ints.asList;7;GoogleGuava;Ints asList;3;0;19;63;3.32;0;0.0;0.53;0.73;7;0.11;0.3;0.37
com.google.common.collect.Ints.asList;8;GoogleGuava;Ints asList;1;0;11;50;4.55;1;0.09;0.72;1.0;5;0.1;0.36;0.41
com.google.common.collect.Ints.asList;9;GoogleGuava;Ints asList;9;0;3;11;3.67;0;0.0;0.73;1.0;2;0.18;0.34;0.41
com.google.common.collect.Ints.asList;10;GoogleGuava;Ints asList;8;0;4;21;5.25;0;0.0;0.30;0.67;2;0.1;0.27;0.32
com.google.common.collect.Ints.concat;1;GoogleGuava;Ints concat;4;1;15;49;3.27;5;0.33;0.90;1.0;4;0.08;0.31;0.4
com.google.common.collect.Ints.concat;2;GoogleGuava;Ints concat;2;1;12;35;2.92;1;0.08;0.71;1.0;6;0.17;0.52;0.55
com.google.common.collect.Ints.concat;3;GoogleGuava;Ints concat;6;1;5;16;3.2;0;0.0;0.43;1.0;2;0.12;0.3;0.64
com.google.common.collect.Ints.concat;4;GoogleGuava;Ints concat;3;1;16;127;7.94;0;0.0;0.46;1.0;3;0.02;0.08;0.19
com.google.common.collect.Ints.concat;5;GoogleGuava;Ints concat;8;1;6;32;5.33;1;0.17;0.66;1.0;3;0.09;0.27;0.44
com.google.common.collect.Ints.concat;6;GoogleGuava;Ints concat;1;0;42;373;8.88;0;0.0;0.00;0.43;12;0.03;0.1;0.19
com.google.common.collect.Ints.concat;7;GoogleGuava;Ints concat;5;0;11;42;3.82;0;0.0;0.53;1.0;2;0.05;0.11;0.22
com.google.common.collect.Ints.concat;8;GoogleGuava;Ints concat;7;0;13;72;5.54;0;0.0;0.64;1.0;16;0.22;0.48;0.55
com.google.common.collect.Ints.concat;9;GoogleGuava;Ints concat;10;0;8;33;4.12;0;0.0;0.34;0.75;2;0.06;0.16;0.27
com.google.common.collect.Ints.concat;10;GoogleGuava;Ints concat;9;0;3;11;3.67;0;0.0;0.92;1.0;4;0.36;0.65;0.67
com.google.common.collect.Ints.saturatedCast;1;GoogleGuava;Ints saturatedCast;8;1;9;37;4.11;0;0.0;0.43;1.0;10;0.27;0.64;0.65
com.google.common.collect.Ints.saturatedCast;2;GoogleGuava;Ints saturatedCast;3;1;29;210;7.24;0;0.0;0.89;1.0;6;0.03;0.16;0.18
com.google.common.collect.Ints.saturatedCast;3;GoogleGuava;Ints saturatedCast;9;1;6;24;4.0;0;0.0;0.78;1.0;4;0.17;0.46;0.52
com.google.common.collect.Ints.saturatedCast;4;GoogleGuava;Ints saturatedCast;1;1;9;46;5.11;5;0.56;0.79;1.0;5;0.11;0.38;0.44
com.google.common.collect.Ints.saturatedCast;5;GoogleGuava;Ints saturatedCast;2;1;8;36;4.5;4;0.5;0.87;1.0;5;0.14;0.46;0.49
com.google.common.collect.Ints.saturatedCast;6;GoogleGuava;Ints saturatedCast;4;0;19;82;4.32;0;0.0;0.66;0.86;4;0.05;0.14;0.14
com.google.common.collect.Ints.saturatedCast;7;GoogleGuava;Ints saturatedCast;10;0;15;38;2.53;1;0.07;0.78;1.0;2;0.05;0.15;0.17
com.google.common.collect.Ints.saturatedCast;8;GoogleGuava;Ints saturatedCast;6;0;22;57;2.59;0;0.0;0.15;0.7;2;0.04;0.1;0.11
com.google.common.collect.Ints.saturatedCast;9;GoogleGuava;Ints saturatedCast;7;0;15;38;2.53;1;0.07;0.78;1.0;2;0.05;0.15;0.17
com.google.common.collect.Ints.saturatedCast;10;GoogleGuava;Ints saturatedCast;5;0;16;45;2.81;1;0.06;0.62;1.0;2;0.04;0.14;0.16
com.google.common.collect.Ints.toArray;1;GoogleGuava;Ints toArray;3;1;18;62;3.44;8;0.44;0.91;1.0;4;0.06;0.26;0.34
com.google.common.collect.Ints.toArray;2;GoogleGuava;Ints toArray;1;1;24;111;4.62;6;0.25;0.40;1.0;7;0.06;0.24;0.24
com.google.common.collect.Ints.toArray;3;GoogleGuava;Ints toArray;4;1;10;32;3.2;1;0.1;0.62;1.0;6;0.19;0.6;0.63
com.google.common.collect.Ints.toArray;4;GoogleGuava;Ints toArray;10;1;4;14;3.5;0;0.0;0.82;1.0;2;0.14;0.32;0.36
com.google.common.collect.Ints.toArray;5;GoogleGuava;Ints toArray;9;1;4;13;3.25;0;0.0;0.39;1.0;2;0.15;0.37;0.41
com.google.common.collect.Ints.toArray;6;GoogleGuava;Ints toArray;6;0;21;74;3.52;1;0.05;0.24;0.62;2;0.03;0.11;0.16
com.google.common.collect.Ints.toArray;7;GoogleGuava;Ints toArray;2;0;20;96;4.8;0;0.0;0.11;1.0;11;0.11;0.3;0.32
com.google.common.collect.Ints.toArray;8;GoogleGuava;Ints toArray;5;0;19;65;3.42;0;0.0;0.55;1.0;2;0.03;0.1;0.17
com.google.common.collect.Ints.toArray;9;GoogleGuava;Ints toArray;7;0;7;24;3.43;0;0.0;0.44;1.0;2;0.08;0.24;0.32
com.google.common.collect.Ints.toArray;10;GoogleGuava;Ints toArray;8;0;12;30;2.5;0;0.0;0.57;1.0;2;0.07;0.21;0.33
com.google.common.collect.Ints.tryParse;1;GoogleGuava;Ints tryParse;10;1;5;15;3.0;0;0.0;0.60;1.0;2;0.13;0.31;0.35
com.google.common.collect.Ints.tryParse;2;GoogleGuava;Ints tryParse;1;1;25;99;3.96;0;0.0;0.44;1.0;22;0.22;0.55;0.58
com.google.common.collect.Ints.tryParse;3;GoogleGuava;Ints tryParse;4;1;23;156;6.78;1;0.04;0.62;1.0;4;0.03;0.14;0.11
com.google.common.collect.Ints.tryParse;4;GoogleGuava;Ints tryParse;7;1;4;14;3.5;0;0.0;0.80;1.0;2;0.14;0.33;0.34
com.google.common.collect.Ints.tryParse;5;GoogleGuava;Ints tryParse;3;1;7;30;4.29;1;0.14;0.90;1.0;4;0.13;0.42;0.43
com.google.common.collect.Ints.tryParse;6;GoogleGuava;Ints tryParse;5;0;18;59;3.28;0;0.0;0.27;0.89;2;0.03;0.11;0.11
com.google.common.collect.Ints.tryParse;7;GoogleGuava;Ints tryParse;6;0;10;36;3.6;0;0.0;0.22;1.0;2;0.06;0.15;0.15
com.google.common.collect.Ints.tryParse;8;GoogleGuava;Ints tryParse;8;0;10;22;2.2;0;0.0;0.59;1.0;2;0.09;0.25;0.24
com.google.common.collect.Ints.tryParse;9;GoogleGuava;Ints tryParse;2;0;25;101;4.04;1;0.04;0.49;1.0;4;0.04;0.18;0.24
